2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
2024-06-20 21:19:19 | INFO     | [LAPTOP-LSH6GCDG:192.168.1.3:11452] PID:11452 | you sucess push one task |<function request2 at 0x000002314D5C63B0>|('https://baidu.com',)|{}
